policy_id,customer_name,gender,age,marital_status,state,city,pincode,aadhaar_masked,occupation_type,annual_income_inr,bmi,tobacco_usage,alcohol_units_per_week,physical_activity_level,diet_type,has_diabetes,has_hypertension,family_history_cardiac,stress_level_score,policy_type,sum_insured,policy_start_date,claim_date,hospital_name,hospital_tier,room_category,icu_days,length_of_stay,cashless_claim,agent_channel,hospital_bill_amount,pre_hospitalization_expense,post_hospitalization_expense,non_payable_items,deductible_amount,co_pay_amount,total_claim_amount
IND107501,Dayamai Narasimhan,F,29,Married,Tamil Nadu,Coimbatore,933696,XXXX-XXXX-8170,Unemployed,1370317.66,24.313346549525015,smoking,2,low,veg,0.0,1.0,0,3.463382911422629,family_floater,1000000,2018-08-09,2023-07-20,Sengupta-Prasad Hospital,private_small,private,1,3,yes,online,96539.71,9592.99884631031,7180.235649413728,2130.9724087901377,3501.6061935006865,17118.64221785543,90561.72
IND100500,Harish Narain,Male,35,Married,Tamil Nadu,Coimbatore,491270,XXXX-XXXX-2040,Self-employed,1585746.13,18.368678551607932,both,2,low,eggetarian,,0.0,1,3.3815337417318676,family_floater,1000000,2020-06-04,2024-04-02,Balasubramanian-Raval Hospital,private_corporate,private,3,6,yes,aggregator,226502.3,33143.64546999558,21370.456788078627,10147.433986621489,8097.273123834643,44256.53871518655,218515.15
IND100183,Omkaar Tank,male,57,married,Karnataka,Bengaluru,604098,XXXX-XXXX-9081,Unemployed,1434061.5,29.056717144514824,smoking,5,moderate,vegan,0.0,0.0,1,7.151174340240404,family_floater,1000000,2020-02-25,2020-12-28,Sarin LLC Hospital,private_corporate,private,0,7,yes,bancassurance,172937.76,18460.297923266702,17966.06847571771,4942.345681104188,3005.3453201956763,10707.9290453676,190708.5
IND105452,Ikbal Sani,male,62,Married,Delhi,New Delhi,166463,XXXX-XXXX-3970,Unemployed,,32.96777852478786,smoking,3,moderate,non-veg,1.0,0.0,0,7.047265086701303,senior_citizen,300000,2022-04-30,2022-07-16,Gour-Parmar Hospital,private_corporate,deluxe,0,0,yes,online,67930.41,9064.984642548232,3461.836272355893,3592.1702575248883,1961.1229076925547,13159.679369478008,61744.26
IND107120,Aarnav Ganesan,M,34,Divorced,Delhi,New Delhi,783344,XXXX-XXXX-4152,Unemployed,489784.07,26.588878487296956,smoking,3,moderate,non-veg,0.0,1.0,0,5.006767592372922,senior_citizen,500000,2022-06-14,2022-12-28,Badami-Kohli Hospital,private_small,general,1,5,yes,aggregator,101498.29,8852.411075254571,8034.447624100135,7804.324920040758,2055.220338265292,17405.25224677584,91120.35
IND103177,Damini Korpal,Female,28,married,Karnataka,Mysuru,966431,XXXX-XXXX-6015,Unemployed,1047272.6,16.848718947936675,none,2,high,non-veg,,0.0,0,7.7034525469443125,family_floater,2000000,2018-12-01,2023-07-03,"Nadkarni, Buch and Bala Hospital",private_corporate,semi-private,1,6,yes,aggregator,117747.07,13940.899056916163,9578.165335004669,3926.9881282122296,5628.279843364898,13440.60876276318,118270.26
IND102437,Hema Gandhi,female,36,Married,West Bengal,Kolkata,105184,XXXX-XXXX-9757,Self-employed,4.6 LPA,22.878806881831228,none,2,moderate,non-veg,0.0,0.0,0,7.017403217461551,family_floater,1000000,2018-11-11,2019-09-07,"Tandon, Behl and Banerjee Hospital",private_corporate,private,0,2,yes,online,77305.8,7160.853876292783,8771.938464313964,1965.7765034030679,1276.2638855823695,8616.059156706244,81380.49
IND101626,Vincent Venkataraman,female,42,Married,Delhi,New Delhi,402418,XXXX-XXXX-1408,Self-employed,1049045.48,20.433357170433162,chewing,1,high,vegan,0.0,,0,3.5714259238625408,individual,2000000,2020-08-20,2021-10-24,Ray-Bhargava Hospital,govt,general,1,2,yes,online,"₹50,138",2665.998113571149,5030.081116971192,1130.5682638239136,2384.000914411185,7071.11854954279,47248.14
IND100153,Jagdish Narang,female,57,Divorced,Delhi,New Delhi,751009,111074937577,Retired,353697.27,17.14280289053626,none,3,moderate,non-veg,0.0,0.0,0,6.089009589597229,family_floater,300000,2021-07-24,2025-06-01,Rana and Sons Hospital,private_corporate,deluxe,1,10,yes,agent,198367.97,17794.405311858332,12775.310142758563,11959.437698214546,7426.94483350622,21752.191724918284,187799.11
IND105161,Advik Dyal,F,26,Single,Karnataka,Bengaluru,937167,XXXX-XXXX-4520,Salaried,1807638.46,25.20286176683734,chewing,5,low,non-veg,1.0,0.0,1,4.9641919849578855,senior_citizen,300000,2022-10-23,2023-01-06,Badal Group Hospital,private_corporate,general,4,8,yes,online,363036.26,45399.23084549471,20842.3529382129,11756.24967256409,11058.202173095986,42289.84582080211,"₹364,174"
IND101065,Warhi Balay,female,33,Single,Tamil Nadu,Coimbatore,125166,XXXX-XXXX-5111,Student,1576815.51,23.0483998803481,none,0,high,vegan,1.0,1.0,1,4.929165026003682,individual,2000000,2023-11-04,2025-04-03,Raju-Guha Hospital,private_corporate,deluxe,1,4,no,online,"₹139,961",14507.191642676005,11236.723551062229,6642.262018136854,3184.804327899571,9009.22623368984,146868.87
IND104532,Chavvi Wason,female,38,Single,Delhi,New Delhi,743047,XXXX-XXXX-4434,Business,667476.59,24.3262528073957,none,0,moderate,veg,0.0,0.0,0,6.695823510029502,individual,2000000,2018-09-14,2019-10-22,Dhillon-Saxena Hospital,govt,semi-private,1,6,no,aggregator,"₹103,429",7015.263044053614,5480.299264355587,4939.396601267715,1339.3651533992916,11487.790449308459,98158.06
IND100830,Mahika Chaudhry,Male,54,Single,Delhi,New Delhi,160200,XXXX-XXXX-7691,Salaried,1248396.67,19.42973247651159,none,2,low,non-veg,0.0,0.0,1,4.469729008203444,individual,5000000,2022-07-24,2026-11-14,Rattan-Sridhar Hospital,private_small,general,0,2,no,agent,44825.05,2721.798360911205,4648.453831787274,1170.726943351857,2089.251449898498,8282.225586537601,40653.1
IND106423,Dev Bail,Female,83,married,West Bengal,Kolkata,627788,621867211993,Unemployed,614183.16,30.47510537771782,none,2,low,veg,0.0,0.0,0,7.330650448508304,family_floater,2000000,2023-09-19,2027-01-01,Chauhan-Kala Hospital,private_small,semi-private,2,5,yes,agent,119943.76,8435.534697911227,13969.432159654982,4390.527931354127,5489.472535443739,18560.816288608657,113907.91
IND105564,Bishakha Apte,female,37,Single,Delhi,New Delhi,571152,XXXX-XXXX-1533,Business,611332.36,18.021927354843253,none,5,low,eggetarian,0.0,0.0,0,9.006573299703023,individual,2000000,2018-12-03,2023-10-21,Anne and Sons Hospital,private_corporate,private,1,4,yes,agent,112902.73,12760.261991686031,8452.406249759422,4292.301836984896,3227.2796493928095,18930.999331667274,107664.81
IND103764,Raagini Bakshi,M,30,Divorced,West Bengal,Kolkata,418186,XXXX-XXXX-2991,Unemployed,757758.62,15.0,none,2,low,non-veg,1.0,0.0,0,2.5197916047873608,senior_citizen,300000,2023-02-27,2025-12-05,Gera Inc Hospital,private_corporate,private,0,3,yes,agent,111976.53,12657.92117092793,12611.307876266594,8414.390312658461,3915.0528255208287,11642.203518460163,113274.11
IND101994,Ekta Wadhwa,F,41,Married,Maharashtra,Nagpur,566624,XXXX-XXXX-4423,Student,705026.91,27.954189064101616,none,2,moderate,eggetarian,0.0,1.0,0,7.413718842463445,individual,300000,2023-10-22,2028-01-11,Sawhney Ltd Hospital,private_corporate,private,2,8,yes,agent,"223,449",24397.525952761287,23486.396254673622,16017.930964658692,5259.67447284934,38000.47265019778,212054.91
IND104188,Upkaar Kata,M,57,Single,Maharashtra,Mumbai,585804,855575825867,Retired,641444.85,27.12094851914008,chewing,2,high,non-veg,0.0,1.0,0,3.412941376653817,family_floater,500000,2018-03-29,2019-04-01,Oak and Sons Hospital,govt,general,0,3,yes,online,16749.13,1212.44367741725,1066.521602908012,1009.4931895247094,292.87915041320525,1413.151955924128,16312.57
IND104620,Falan Handa,Male,22,Single,Tamil Nadu,Coimbatore,999464,XXXX-XXXX-3714,Business,1543697.87,31.776873593933388,smoking,1,low,non-veg,0.0,0.0,1,6.15904703570645,family_floater,5000000,2019-11-09,2020-02-15,Andra-Dubey Hospital,private_corporate,deluxe,3,4,no,aggregator,219745.26,31616.131320616503,18262.60301081809,9805.875771803234,4678.329900412721,11556.30683623271,243583.48
IND103763,Madhavi Vala,male,34,Married,Maharashtra,Pune,387552,XXXX-XXXX-2995,Self-employed,390943.57,,chewing,2,moderate,non-veg,0.0,0.0,0,3.127508672485237,individual,300000,2018-04-25,2021-05-21,Misra-Bhatti Hospital,private_small,deluxe,1,5,yes,aggregator,142185.97,12092.357217650553,15861.114154230234,3036.1194657232454,6148.766284368334,24761.37909894098,136193.18
IND101616,Saanvi Soni,Male,40,Widowed,Karnataka,Bengaluru,652501,XXXX-XXXX-9364,Student,1515166.57,32.51089867809605,smoking,3,low,vegan,0.0,0.0,0,8.00452005846271,family_floater,2000000,2022-12-30,2027-02-20,Kulkarni-Sane Hospital,private_corporate,general,3,4,yes,agent,258237.09,18754.88402151441,25425.93432699749,13083.811407667712,11247.483285909868,47513.71757382252,230572.89
IND105132,Krishna Rastogi,Male,56,Married,Uttar Pradesh,Noida,643453,XXXX-XXXX-3709,Business,21.9 LPA,31.275362689136603,none,3,moderate,vegan,0.0,0.0,0,6.840619818955565,individual,1000000,2021-05-18,2025-03-04,De-Hari Hospital,private_small,semi-private,1,4,yes,aggregator,63724.49,4513.330403600849,5121.35576091178,1866.78354400987,1257.361309249045,10599.917861731512,59635.11
IND103122,Samarth Shanker,F,39,married,Karnataka,Mysuru,435790,XXXX-XXXX-7278,Retired,974842.82,21.87295212641861,smoking,1,high,non-veg,0.0,0.0,0,3.6698286972385565,family_floater,300000,2021-07-26,2026-10-30,Tank-Bhattacharyya Hospital,private_corporate,general,2,6,yes,online,195119.4,9836.875331307498,21428.703015422107,5766.867854117111,2619.4165539099,24612.288503782827,193386.41
IND102581,Avi Krishnamurthy,F,48,Widowed,Maharashtra,Mumbai,216006,XXXX-XXXX-3893,Salaried,987172.23,23.04461245197031,chewing,3,low,eggetarian,0.0,1.0,0,4.657821563919231,family_floater,300000,2020-04-28,2021-11-30,"Patla, Kamdar and Dar Hospital",private_small,deluxe,2,5,yes,aggregator,165937.09,21050.860653158383,13955.484276865986,11515.918960297166,7721.339743160672,18494.643713404945,"₹163,212"
IND104827,Bishakha Rout,F,43,Divorced,Uttar Pradesh,Kanpur,866278,XXXX-XXXX-9563,Retired,756870.75,18.713415466008136,none,4,moderate,veg,0.0,0.0,0,6.453870165756467,senior_citizen,1000000,2019-05-23,2020-12-12,Sengupta-Mahal Hospital,private_small,deluxe,1,3,no,agent,37767.39,2171.6753404012534,1977.2927654492507,1235.491165418443,677.5253325422111,2700.074901064716,"₹37,303"
IND101739,Gunbir Vig,female,33,Single,Maharashtra,Mumbai,637966,XXXX-XXXX-8395,Unemployed,305787.02,30.328169573407678,chewing,3,high,veg,0.0,0.0,1,3.1017409016345514,individual,300000,2018-08-31,2024-01-12,"Krishna, Halder and Cheema Hospital",private_small,private,3,5,yes,agent,156440.22,12498.481920053468,16792.095586537936,12468.81414847075,5713.712409329458,26910.171085574228,140638.1
IND103167,Jagat Karan,Female,34,married,Uttar Pradesh,Lucknow,482221,XXXX-XXXX-2698,Business,891956.44,30.4588213995731,none,3,low,eggetarian,0.0,1.0,0,5.589288240657504,individual,1000000,2020-10-04,2021-11-24,"Rau, Som and Grewal Hospital",private_corporate,private,3,7,no,aggregator,272031.79,24809.154095008627,25928.10178810406,13791.789836817357,3096.763348563994,14438.501369711179,291442.0
IND104299,Nicholas Ramakrishnan,F,70,married,Tamil Nadu,Coimbatore,186345,XXXX-XXXX-1215,Unemployed,741086.5,32.79309269921909,none,0,low,non-veg,0.0,1.0,1,1.6878461483762712,individual,1000000,2021-09-15,2023-06-04,Sangha-Lal Hospital,private_small,private,0,4,yes,aggregator,82730.44,10457.021692665667,9249.971542775207,5190.28697573309,3096.1297502817756,7184.865564279143,86966.15
IND104861,Lekha Loyal,female,18,Married,Tamil Nadu,Chennai,443346,XXXX-XXXX-1196,Retired,596473.98,26.7411232901465,none,3,low,eggetarian,0.0,1.0,0,5.090736823484606,family_floater,300000,2022-05-15,2027-08-03,Majumdar-Shroff Hospital,private_corporate,semi-private,1,1,yes,online,"₹113,274",5763.418659830128,9885.608812373708,9060.591209740753,1335.1116156910953,19704.434875535968,98822.4
IND106753,Indrajit Trivedi,Female,24,married,Uttar Pradesh,Lucknow,312876,XXXX-XXXX-2794,Retired,267843.45,15.0,chewing,2,moderate,vegan,,0.0,1,7.705179548103375,individual,2000000,2020-01-27,2025-01-30,"Samra, Buch and Bhandari Hospital",private_small,deluxe,0,1,no,agent,78853.63,8703.404369951648,6314.435397952909,2835.0816634249704,2222.79690097219,4880.48075699199,83933.11
IND100754,Mekhala Chadha,F,19,Divorced,Maharashtra,Pune,407648,XXXX-XXXX-7542,Student,1165959.23,25.743459377956846,none,1,low,eggetarian,0.0,1.0,1,7.453583074711132,family_floater,300000,2020-08-28,2022-05-20,Nanda LLC Hospital,private_small,private,2,3,yes,aggregator,148789.81,7725.4547302513065,9233.232686845553,4900.1158534123415,6804.736322646916,12244.42587274267,141799.22
IND103434,Bishakha Ratta,F,18,Married,Tamil Nadu,Chennai,906606,XXXX-XXXX-4897,Salaried,2420993.63,23.721977487305935,none,4,moderate,eggetarian,,1.0,0,6.921988109114943,family_floater,300000,2018-07-24,2021-08-02,"Dugar, Verma and Borah Hospital",govt,deluxe,1,3,yes,online,15779.21,1492.592625175579,1837.1804500328576,894.7420329155375,704.1352716984037,2242.9944074570126,15267.11
IND101992,Manthan Varkey,male,57,Widowed,Maharashtra,Nagpur,430108,XXXX-XXXX-1503,Self-employed,333798.66,29.589354872035127,none,1,high,vegan,0.0,1.0,0,7.732317697339083,individual,2000000,2022-07-21,2027-05-07,Cherian and Sons Hospital,private_small,private,0,4,no,online,135398.17,16476.185838054662,11722.22267258484,5241.354692742162,3223.0221387332945,12608.518288214447,142523.68
IND106322,Ayaan Peri,F,49,married,West Bengal,Kolkata,199875,XXXX-XXXX-6677,Retired,567214.87,16.578726635197285,none,2,moderate,eggetarian,,0.0,0,3.57839288147228,family_floater,1000000,2019-04-27,2021-07-17,Chakraborty LLC Hospital,private_corporate,semi-private,0,2,no,agent,65053.36,7043.443946820982,4477.473543695981,3887.6567088678516,2820.9245693583243,11761.278445575315,58104.42
IND100618,Faras Nayak,F,26,Single,Karnataka,Bengaluru,984130,XXXX-XXXX-5047,Salaried,,23.972109075214423,none,2,moderate,non-veg,0.0,0.0,0,4.954857407171696,individual,300000,2021-06-17,2025-01-17,Konda Ltd Hospital,private_small,general,0,1,yes,aggregator,31724.72,2953.0892218105964,2861.933336907116,775.825382678863,841.9620067683081,5434.915356811047,"₹30,487"
IND100509,Nidhi Sundaram,Female,33,Widowed,West Bengal,Kolkata,634363,XXXX-XXXX-2234,Salaried,842461.04,18.6517184347569,both,4,low,veg,0.0,0.0,1,4.218679554132167,individual,2000000,2021-03-15,2024-11-30,"Upadhyay, Bawa and Ben Hospital",private_small,semi-private,0,3,yes,agent,63569.47,7857.637163438465,6595.20594237171,1973.6696407791626,2469.056584268702,12144.644999295546,61434.94
IND102282,Neha Vaidya,female,64,Widowed,Delhi,New Delhi,100258,XXXX-XXXX-8926,Retired,,33.22314917368385,smoking,3,low,veg,,1.0,0,,senior_citizen,300000,2019-03-14,2023-11-29,Bajwa Group Hospital,govt,semi-private,0,3,yes,agent,51522.82,3318.4732204581514,5560.103053185365,3629.862971164747,2033.4923977535136,10268.777612302476,44469.26
